zwemwaterlocatie_id,naam,latitude,longitude
1457,Badstrand Hoorn,53.42,5.3473
1458,Badstrand Nes,53.4609,5.7786
1459,Badstrand Prins Bernhardweg,53.5026,6.1897
1460,Zeestrand Termunten,53.3026,7.0309
1461,Badstrand West Aan Zee,53.4046,5.2482
1462,Badstrand Badhuis,53.3051,5.0511
1463,Baarland Badstrand,51.3939,3.8983
1465,Bergse Diepsluis Noord Badstrand,51.5137,4.1747
1466,Borssele Badstrand,51.4404,3.6937
1468,"Breskens, overgang Eerste Strange",51.3994,3.5617
1469,"Breskens, overgang 't Fort",51.4058,3.5397
1470,"Nieuwesluis, overgang 't Poldertje",51.4035,3.4993
1471,Bruinisse Werkhaven Badstrand,51.6689,4.0879
1472,"Cadzand, overgang Tien Honderd",51.3904,3.421
1473,Colijnsplaat Badstrand,51.6038,3.8414
1474,Den Osse Badstrand,51.741,3.8952
1476,"Ellemeet, overgang Ellemeet",51.7422,3.8072
1477,Grevelingendam Badstrand,51.6788,4.1208
1478,Grevelingendam Plaat Van Oude Tonge Badstrand,51.6755,4.1399
1479,Herkingen Badstrand,51.708,4.0798
1481,"Kamperland De Banjaard, overgang de Kering",51.5995,3.6772
1482,Kamperland De Roompot Badstrand,51.5931,3.7284
1483,Kamperland Sint Felixweg Badstrand,51.5525,3.6924
1484,Katse Veer Badstrand,51.5409,3.8686
1486,Krabbendijke Roelshoek Badstrand,51.4364,4.1248
1487,Krammersluis Laagbekken Badstrand,51.6491,4.1737
1488,Gravenbol,51.972,5.3852
1490,Neeltje Jans Badstrand,51.6341,3.6925
1491,"Nieuw Haamstede, overgang Vuurtorenpad",51.7135,3.6829
1492,"Nieuwvliet-Bad, overgang Kruishoofd",51.3932,3.4538
1494,Oesterdam Westzijde Badstrand,51.4773,4.2191
1497,Oranjeplaat Badstrand,51.5169,3.7067
1499,Ouwerkerk Hoek van Ouwerkerk Badstrand,51.6163,3.9619
1500,Perkpolder Badstrand,51.4014,4.0177
1501,De Piet Badstrand,51.53,3.7273
1503,"Renesse, overgang J. Van Renesseweg ",51.7421,3.7606
1504,Renesse Luieweg,51.7398,3.7502
1506,Schotsman Campensweg Badstrand,51.5752,3.6497
1507,Sint Maartensdijk Muiepolder Badstrand,51.5327,4.0694
1509,Slikken Van Flakkee,51.75,4.0191
1510,Veersegat Dam Meerzijde Badstrand,51.5826,3.628
1514,Westkapelle Erika Badstrand,51.5244,3.4378
1515,West Repart Badstrand,51.7395,3.8292
1516,"Westerschouwen, overgang rotonde",51.6697,3.7024
1517,Wolphaartsdijk Schelphoek Badstrand,51.5425,3.7993
1518,Yerseke Postweg Badstrand,51.5026,4.0463
1519,"Dishoek, overgang Dishoek",51.4694,3.5182
1520,"Zoutelande, overgang Smidshoekje",51.4992,3.4816
1521,"Het Zwin, overgang het Zwin",51.3728,3.37
1522,Dagstrand De Kis Zuid,51.1368,5.8577
1523,"De Kis Noord, Plas Brandt",51.139,5.8592
1524,Dilkensplas,51.111,5.8175
1525,Recreatiestrand Camping Velmans/Maasparcje/Van Ass/Hermans,51.2083,5.9766
1526,Dagstrand De Grote Hegge,51.1532,5.841
1527,Recreatiestrand Resort Marina Oolderhuuske,51.1905,5.9548
1528,Dagstrand Area-X,51.206,5.9649
1529,Recreatiestrand Comfortparc Wessem,51.1538,5.8717
1531,De Zandmeren West,51.7636,5.3477
1532,De Zandmeren Noord,51.7656,5.3471
1533,Recreatiestrand Vakantiepark Leukermeer,51.5685,6.062
1534,"Lithse Ham, Dagstrand",51.8101,5.4102
1535,"Lithse Ham, Gemeentestrand",51.8157,5.4176
1536,"Hemelrijkse Waard, Dagstrand",51.7996,5.4812
1537,Recreatiegebied Mookerplas,51.731,5.9289
1538,Recreatiestrand Camping Hatenboer,51.1953,5.9749
1540,Naturistenvereniging Maasplassen Maastricht,50.8172,5.6988
1542,De Gouden Ham Hanzeland,51.8264,5.5465
1543,De Gouden Ham De Maaslanden,51.8299,5.5595
1544,Camping   De Schans,51.8357,5.4958
1545,Kraaijenbergse Plas 2,51.7514,5.8318
1546,Kraaijenbergse Plas 3,51.7504,5.8224
1547,Dagstrand Fun Valley,50.8034,5.7044
1548,Event Beach Maastricht,50.808,5.7053
1549,Heeswijkse Kampen,51.7475,5.8516
1550,Abbertstrand,52.5127,5.8547
1551,Surfstrand Almere,52.3348,5.2048
1552,Zwemstrand Almere,52.3328,5.2114
1553,Broekerhaven Oost,52.6867,5.2579
1554,"Strand Zuiderhaven, Den Oever",52.9316,5.0403
1555,Strandbad Edam,52.5197,5.072
1556,Veluwe Strandbad Zuid,52.4536,5.8221
1557,Ellerstrand Noord,52.4343,5.789
1558,Enkhuizerzand,52.7118,5.2933
1559,Erkemederstrand Jutter- en Hillstrand,52.268,5.4945
